Date,Open,High,Low,Close,Turnover ,Close-High,Close-Avg(High_Low),Turnover_Ratio
02-Nov-17,10440.5,10453,10412.55,10423.8,10779.63,-29.2,-8.975,-0.241202967
03-Nov-17,10461.55,10461.7,10403.6,10452.5,10070.83,-9.2,19.85,-0.065753648
06-Nov-17,10431.75,10490.45,10413.75,10451.8,10231.76,-38.65,-0.3,0.015979815
07-Nov-17,10477.15,10485.75,10340.8,10350.15,16182.46,-135.6,-63.125,0.581591046
08-Nov-17,10361.95,10384.25,10285.5,10303.15,14789.39,-81.1,-31.725,-0.086085181
09-Nov-17,10358.65,10368.45,10266.95,10308.95,12697.28,-59.5,-8.75,-0.141460195
10-Nov-17,10304.35,10344.95,10254.1,10321.75,14682.6,-23.2,22.225,0.156357897
13-Nov-17,10322,10334.15,10216.25,10224.95,11783.34,-109.2,-50.25,-0.197462302
14-Nov-17,10223.4,10248,10175.55,10186.6,15398.97,-61.4,-25.175,0.306842542
15-Nov-17,10171.95,10175.45,10094,10118.05,11609.18,-57.4,-16.675,-0.24610672
16-Nov-17,10152.9,10232.25,10139.2,10214.75,9995.55,-17.5,29.025,-0.138996036
17-Nov-17,10324.55,10343.6,10268.05,10283.6,11023.35,-60,-22.225,0.102825757
20-Nov-17,10287.2,10309.85,10261.5,10298.75,8502.63,-11.1,13.075,-0.228670958
21-Nov-17,10329.25,10358.7,10315.05,10326.9,10443.99,-31.8,-9.975,0.228324648
22-Nov-17,10350.8,10368.7,10309.55,10342.3,9136.04,-26.4,3.175,-0.125234704
23-Nov-17,10358.45,10374.3,10307.3,10348.75,8789.42,-25.55,7.95,-0.037939851
24-Nov-17,10366.8,10404.5,10362.25,10389.7,8197.66,-14.8,6.325,-0.067326399
27-Nov-17,10361.05,10407.15,10340.2,10399.55,7551.71,-7.6,25.875,-0.078796876
28-Nov-17,10387.9,10409.55,10355.2,10370.25,9979.25,-39.3,-12.125,0.32145567
29-Nov-17,10376.65,10392.95,10345.9,10361.3,8852.8,-31.65,-8.125,-0.112879224
30-Nov-17,10332.7,10332.7,10211.25,10226.55,19005.56,-106.15,-45.425,1.146841677
01-Dec-17,10263.7,10272.7,10108.55,10121.8,8518.58,-150.9,-68.825,-0.551784846
04-Dec-17,10175.05,10179.2,10095.7,10127.75,8458.66,-51.45,-9.7,-0.007034036
05-Dec-17,10118.25,10147.95,10069.1,10118.25,8749.09,-29.7,9.725,0.034335226
06-Dec-17,10088.8,10104.2,10033.35,10044.1,9598.82,-60.1,-24.675,0.097122101
07-Dec-17,10063.45,10182.65,10061.9,10166.7,9910.28,-15.95,44.425,0.032447738
08-Dec-17,10198.45,10270.85,10195.25,10265.65,11468.15,-5.2,32.6,0.157197375
11-Dec-17,10310.5,10329.2,10282.05,10322.25,8453.76,-6.95,16.625,-0.262848847
12-Dec-17,10324.9,10326.1,10230.2,10240.15,10380.24,-85.95,-38,0.227884397
13-Dec-17,10236.6,10296.55,10169.85,10192.95,10070.44,-103.6,-40.25,-0.029845167
14-Dec-17,10229.3,10276.1,10141.55,10252.1,9549.23,-24,43.275,-0.051756428
15-Dec-17,10345.65,10373.1,10319.65,10333.25,15106.77,-39.85,-13.125,0.581988286
18-Dec-17,10263.1,10443.55,10074.8,10388.75,12921.61,-54.8,129.575,-0.144647731
19-Dec-17,10414.8,10472.2,10406,10463.2,10982.95,-9,24.1,-0.150032388
20-Dec-17,10494.4,10494.45,10437.15,10444.2,11303,-50.25,-21.6,0.029140623
21-Dec-17,10473.95,10473.95,10426.9,10440.3,9411.2,-33.65,-10.125,-0.167371494
22-Dec-17,10457.3,10501.1,10448.25,10493,8755.32,-8.1,18.325,-0.069691431
26-Dec-17,10512.3,10545.45,10477.95,10531.5,9043.77,-13.95,19.8,0.032945683
27-Dec-17,10531.05,10552.4,10469.25,10490.75,9077.6,-61.65,-20.075,0.003740697
28-Dec-17,10498.2,10534.55,10460.45,10477.9,14551.58,-56.65,-19.6,0.603020622
29-Dec-17,10492.35,10538.7,10488.65,10530.7,8943.1,-8,17.025,-0.38542069
01-Jan-18,10531.7,10537.85,10423.1,10435.55,7546.56,-102.3,-44.925,-0.156158379
02-Jan-18,10477.55,10495.2,10404.65,10442.2,8665.47,-53,-7.725,0.148267555
03-Jan-18,10482.65,10503.6,10429.55,10443.2,9541.6,-60.4,-23.375,0.101105883
04-Jan-18,10469.4,10513,10441.45,10504.8,9561.95,-8.2,27.575,0.002132766
05-Jan-18,10534.25,10566.1,10520.1,10558.85,10306.22,-7.25,15.75,0.077836634
08-Jan-18,10591.7,10631.2,10588.55,10623.6,9907.27,-7.6,13.725,-0.038709634
09-Jan-18,10645.1,10659.15,10603.6,10637,10733.37,-22.15,5.625,0.083383213
10-Jan-18,10652.05,10655.5,10592.7,10632.2,9720.65,-23.3,8.1,-0.094352473
11-Jan-18,10637.05,10664.6,10612.35,10651.2,9635.01,-13.4,12.725,-0.00881011
12-Jan-18,10682.55,10690.4,10597.1,10681.25,11005.12,-9.15,37.5,0.142201202
15-Jan-18,10718.5,10782.65,10713.8,10741.55,11333.11,-41.1,-6.675,0.029803401
16-Jan-18,10761.5,10762.35,10687.85,10700.45,12709.44,-61.9,-24.65,0.121443275
17-Jan-18,10702.45,10803,10666.75,10788.55,14334.26,-14.45,53.675,0.127843556
18-Jan-18,10873.4,10887.5,10782.4,10817,17930.3,-70.5,-17.95,0.250870293
19-Jan-18,10829.2,10906.85,10793.9,10894.7,11792.26,-12.15,44.325,-0.342327792
22-Jan-18,10883.2,10975.1,10881.4,10966.2,14469.06,-8.9,37.95,0.226996352
23-Jan-18,10997.4,11092.9,10994.55,11083.7,16423.91,-9.2,39.975,0.135105529
24-Jan-18,11069.35,11110.1,11046.15,11086,16915.14,-24.1,7.875,0.029909443
25-Jan-18,11095.6,11095.6,11009.2,11069.65,19939.54,-25.95,17.25,0.178798402
29-Jan-18,11079.35,11171.55,11075.95,11130.4,16118.36,-41.15,6.65,-0.191638323
30-Jan-18,11120.85,11121.1,11033.9,11049.65,13232.19,-71.45,-27.85,-0.179061021
31-Jan-18,11018.8,11058.5,10979.3,11027.7,14459.69,-30.8,8.8,0.092766201
01-Feb-18,11044.55,11117.35,10878.8,11016.9,17719.4,-100.45,18.825,0.225434294
02-Feb-18,10938.2,10954.95,10736.1,10760.6,16542.51,-194.35,-84.925,-0.066418163
05-Feb-18,10604.3,10702.75,10586.8,10666.55,13980.63,-36.2,21.775,-0.154866462
06-Feb-18,10295.15,10594.15,10276.3,10498.25,15606.34,-95.9,63.025,0.116283029
07-Feb-18,10607.2,10614,10446.4,10476.7,13971.66,-137.3,-53.5,-0.10474461
08-Feb-18,10518.5,10637.8,10479.55,10576.85,12569.23,-60.95,18.175,-0.100376763
09-Feb-18,10416.5,10480.2,10398.2,10454.95,10602.15,-25.25,15.75,-0.156499642
12-Feb-18,10518.2,10555.5,10485.4,10539.75,11133.78,-15.75,19.3,0.050143603
14-Feb-18,10585.75,10590.55,10456.65,10500.9,12188.94,-89.65,-22.7,0.094771048
15-Feb-18,10537.9,10618.1,10511.05,10545.5,11035.38,-72.6,-19.075,-0.094639895
16-Feb-18,10596.2,10612.9,10434.05,10452.3,10026.71,-160.6,-71.175,-0.091403287
19-Feb-18,10488.9,10489.35,10302.75,10378.4,9871.36,-110.95,-17.65,-0.015493617
20-Feb-18,10391,10429.35,10347.65,10360.4,9619.95,-68.95,-28.1,-0.025468628
21-Feb-18,10426,10426.1,10349.6,10397.45,12996.36,-28.65,9.6,0.350979995
22-Feb-18,10354.35,10397.55,10340.65,10382.7,17711.46,-14.85,13.6,0.362801584
23-Feb-18,10408.1,10499.1,10396.65,10491.05,12704.32,-8.05,43.175,-0.282706225
26-Feb-18,10526.55,10592.95,10520.2,10582.6,10274.89,-10.35,26.025,-0.191228653
27-Feb-18,10615.2,10631.65,10537.25,10554.3,10276.42,-77.35,-30.15,0.000148907
28-Feb-18,10488.95,10535.5,10461.55,10492.85,16299.11,-42.65,-5.675,0.586068884
01-Mar-18,10479.95,10525.5,10447.15,10458.35,10179.48,-67.15,-27.975,-0.375457924
05-Mar-18,10428.3,10428.7,10323.9,10358.85,10673.92,-69.85,-17.45,0.048572226
06-Mar-18,10420.5,10441.35,10215.9,10249.25,12143.95,-192.1,-79.375,0.137721662
07-Mar-18,10232.95,10243.35,10141.55,10154.2,12128.88,-89.15,-38.25,-0.001240947
08-Mar-18,10216.25,10270.35,10146.4,10242.65,11479.51,-27.7,34.275,-0.053539156
09-Mar-18,10271.3,10296.7,10211.9,10226.85,9874.81,-69.85,-27.45,-0.139788197
12-Mar-18,10301.6,10433.65,10295.45,10421.4,10968.95,-12.25,56.85,0.110801119
13-Mar-18,10389.5,10478.6,10377.85,10426.85,23965.25,-51.75,-1.375,1.18482626
14-Mar-18,10393.05,10420.35,10336.3,10410.9,9564.68,-9.45,32.575,-0.600893794
15-Mar-18,10405.45,10420,10346.2,10360.15,8588.01,-59.85,-22.95,-0.102112146
16-Mar-18,10345.15,10346.3,10180.25,10195.15,18811.97,-151.15,-68.125,1.190492326
19-Mar-18,10215.35,10224.55,10075.3,10094.25,11111.43,-130.3,-55.675,-0.409342562
20-Mar-18,10051.55,10155.65,10049.1,10124.35,10947.12,-31.3,21.975,-0.014787476
21-Mar-18,10181.95,10227.3,10132.95,10155.25,11269.73,-72.05,-24.875,0.029469851
22-Mar-18,10167.5,10207.85,10105.4,10114.75,11558.88,-93.1,-41.875,0.025657225
23-Mar-18,9968.8,10027.7,9951.9,9998.05,14435.17,-29.65,8.25,0.248838123
26-Mar-18,9989.15,10143.5,9958.55,10130.65,12695.47,-12.85,79.625,-0.120518151
27-Mar-18,10188,10207.9,10139.65,10184.15,11175.79,-23.75,10.375,-0.11970254
